1,2,3,4,5,6,7,8,9,10,11,12,,13,14,15,16,17,18,19,20,21,22,23,24,25
,,,,,,,,,,,,of,2136.2161,2136.2161,2136.2161,,,,,,,,,,
,,,,,,,,,,,,CPU_s,191.141,299.328,83.5,,,,,,,,,,
,,,,,,,,,,,,CPU_min,3.19,4.99,1.39,,,,,,,,,,
,,,,,,,,,,,,y,"[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,see 2,heur_NM / floor,heur_NM / ceil,heur_NM / round,,,,,,,,,,
,,,,,,,,,,,,of,2154.5308,,,,,,,,,,,,
,,,,,,,,,,,,CPU_s,313.547,,,,,,,,,,,,
,,,,,,,,,,,,CPU_min,5.23,0,0,,,,,,,,,,
,,,,,,,,,,,,y,"[1, 0, 1, 0, 0, 5, 4, 0, 4, 0]",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,arrange centroid?,no arrange,arrange,,,,,,,,,,,
,,,,,,,,,,,,of,2136.2161,,,,,,,,,,,,
,,,,,,,,,,,,CPU_s,83.5,,,,,,,,,,,,
,,,,,,,,,,,,CPU_min,1.39,0,,,,,,,,,,,
,,,,,,,,,,,,y,"[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]",,,,,,,,,,,,
